Card	Type	Text
Empress	UserRepresentation	This card often stands for love or family, perhaps a connection you have with someone close to you.
Empress	AgentRepresentation	This could be a maternal figure in your life or a person you associate with caring.
Empress	E Interpretation	Evelyn advises you to walk with The Empress down the paths of the forest, and to pick fruit from the trees at its heart.
Empress	S Interpretation	Madame Sosoteris says The Empress represents a hobby or a gift.
Empress	M Interpretation	Maledictus sees The Empress as bringing a sense of satisfaction.
Emperor	Representation	The Emperor represents structure, authority and strength. He is a symbol of decisiveness and the judicious use of reason.
Emperor	Guidance	You should listen to an authority figure or try to understand someone's position. Don't be afraid to make difficult choices.
Emperor	UserRepresentation	This card stands for putting yourself first and making tough, rational choices. It suggests that now is not the time to be too emotional.
Emperor	AgentRepresentation	It could represent someone who will help you with a problem, but it might also symbolise your rational side.
Emperor	E Interpretation	Evelyn sees the Emperor as symbolic of recognition or reward.
Emperor	S Interpretation	Madame Sosoteris sees The Emperor as a symbol of leadership and influence.
Emperor	M Interpretation	Maledictus says the arrival of The Emperor represents the moment to make a firm commitment.
Hierophant	Representation	The Hierophant represents spiritual wisdom, conformity and tradition; solemn commitment and resistance to change.
Hierophant	Guidance	You should think carefully before making decisions, listen to the advice of those you respect and remember to keep your promises.
Hierophant	UserRepresentation	This card often stands for a belief or purpose, or a commitment you have made or may make to someone.
Hierophant	AgentRepresentation	It may represent someone in a position of authority.
Hierophant	E Interpretation	Evelyn sees The Hierophant as a symbol of continuity, can you divine what she means by that?
Hierophant	S Interpretation	Madame Sosoteris believes you should revisit past hobbies or friendships, sometimes renewal is better than beginning.
Hierophant	M Interpretation	Maledictus urges you to take past lessons seriously, sometimes memory points the way.
Lovers	Representation	The Lovers represents relationships, choices and desire; the blissful unity of love and the first kindling of attraction.
Lovers	Guidance	You should look to strengthen your closest bonds, follow opportunities for romance and strive for passion in all things.
Lovers	UserRepresentation	This card can stand for romance and passion, but it also might be a prompt to think about temptation or conflict within your relationship.
Lovers	AgentRepresentation	It could represent a love interest, or someone you could develop a closer relationship with.
Lovers	E Interpretation	Evelyn sees The Lovers as representing the whirl of romance, look for chances to show someone you love them.
Lovers	S Interpretation	Madame Sosoteris sees The Lovers as an invitation to abandon cynicism, to embrace things and people with excitement.
Lovers	M Interpretation	Maledictus believes that The Lovers represent hope and unity in the face of challenging headwinds.
Chariot	Representation	The Chariot represents ambition, humbleness and willpower. It stands for the drive to succeed and quiet confidence in one's abilities.
Chariot	Guidance	You should consider new opportunities, take stock of your situation and trust that you are up to the challenge.
Chariot	UserRepresentation	This card often stands for travel or career advancement. It can be a reminder that life doesn't stand still, it will proceed whether you're ready or not.
Chariot	AgentRepresentation	It might represent someone who isn't afraid to push you; or whose determination you find inspiring.
Chariot	E Interpretation	For Evelyn, The Chariot is a cascading river - it can carry you far but will be hard to swim against.
Chariot	S Interpretation	Madame Sosoteris sees The Chariot as a gently meandering river, it is your choice whether to paddle or float.
Chariot	M Interpretation	Maledictus trusts The Chariot's wheels, but a bit of oil never goes amiss.
Justice	Representation	Justice represents fairness, balance and reason; the authoritative guidance of law and equanimity in the face of misfortune.
Justice	Guidance	You should be ready to answer questions, seek out opportunities for feedback and remember to be even-handed.
Justice	UserRepresentation	This card can refer to a dilemma or ethical conundrum you are facing. It could be a legal issue or a situation where someone is being unreasonable.
Justice	AgentRepresentation	It might represent someone who can give you guidance, either personally or professionally.
Justice	E Interpretation	Evelyn sees Justice as representing a teacher or law-giver.
Justice	S Interpretation	Madame Sosoteris believes Justice represents accountability or consequences.
Justice	M Interpretation	Maledictus sees Justice as the voice of reason, who is speaking sense?
Hermit	Representation	The Hermit represents introspection, inner guidance and solitude; the contemplative benefit of silence and the refreshing relief of nature.
Hermit	Guidance	You should focus your energies inwards, look to get out of the house or city and make the most of any thinking time.
Hermit	UserRepresentation	This card might stand for a task you have to do alone or a period of self-examination. It encourages you to be independent and self-reliant.
Hermit	AgentRepresentation	It could represent a wise, older person or perhaps the part of you that just longs for a bit more quiet time.
Hermit	E Interpretation	Evelyn sees The Hermit as an encouragement to take a break.
Hermit	S Interpretation	Madame Sosoteris believes The Hermit stands for something deep within, what might be below the surface of your thoughts?
Hermit	M Interpretation	Maledictus sees The Hermit as a chance to escape the hectic rush of life.
Wheel	Representation	The Wheel of Fortune represents luck, destiny or unpredictability; the chaotic pattern of existence or the happy accident of good fortune.
Wheel	Guidance	You should embrace the unexpected, risk trying new things and remember that you cannot control every detail.
Wheel	UserRepresentation	This card often stands for a surprise or a change in direction. It can be a reminder to stay open to new experiences.
Wheel	AgentRepresentation	It could stand for someone unpredictable, or perhaps a person who's full of good ideas.
Wheel	E Interpretation	Evelyn sees The Wheel of Fortune as a reminder that the future is not yet written. Why not take up a pen?
Wheel	S Interpretation	Madame Sosoteris believes The Wheel of Fortune never stops spinning, life is about being happy with the outcomes.
Wheel	M Interpretation	Maledictus says The Wheel of Fortune reminds us that the world is mercilessly random.
Strength	Representation	Strength stands for bravery, compassion and influence; the courage to stand up for what's right and the confidence to admit your mistakes.
Strength	Guidance	You should be brave when going outside your comfort zone, try to persuade people to your point of view and be unwavering in the face of injustice.
Strength	UserRepresentation	This card often represents something hidden, perhaps deliberately avoided or suppressed. It might be an emotion you find difficult that you should learn to harness.
Strength	AgentRepresentation	It might be a person in your life who wields a lot of influence, being strong is about knowing when to listen and when to do your own thing.
Strength	E Interpretation	Evelyn says that Strength does not always mean power, the heart is also a muscle.
Strength	S Interpretation	Madame Sosoteris says true Strength is knowing when to open the castle gates.
Strength	M Interpretation	Maledictus sees Strength as a fortress, you must guard your beliefs closely.
Hanged	Representation	The Hanged Man represents observation, pause for thought or surrender; a chance for a new perspective and a reminder to be flexible.
Hanged	Guidance	You should think about taking a break, remember that sunk costs cannot be recovered and consider the world from a new angle.
Hanged	UserRepresentation	This card can stand for a blockage or interruption, often it's an idea that hasn't quite come to fruition.
Hanged	AgentRepresentation	It could be someone with a fresh take on your situation, or they might be the person responsible for it.
Hanged	E Interpretation	Evelyn sees The Hanged Man as a reminder to reconnect with the natural world.
Hanged	S Interpretation	Madame Sosoteris sees The Hanged Man as an invitation to reflect on a disappointment, do not put down roots in stony ground.
Hanged	M Interpretation	Maledictus says The Hanged Man requires a sturdy branch for contemplation.
Death	Representation	Death stands for transformation, transition or change; the certainty of ending and the possibility of rebirth.
Death	Guidance	You should be open to new opportunities, appreciate the present before it becomes the past and take time for self-improvement.
Death	UserRepresentation	This isn't as scary as it seems. Death usually represents the end of one cycle and the beginning of another. It might mean moving house or a change in lifestyle.
Death	AgentRepresentation	It could denote someone who is a negative influence on your life or someone who might help you shake things up.
Death	E Interpretation	Evelyn sees Death as an unfamiliar figure bringing strange gifts.
Death	S Interpretation	Madame Sosoteris sees Death as a changing of the tides.
Death	M Interpretation	Maledictus sees Death as an old friend.
Temperance	Representation	Temperance represents balance, patience and moderation; a divine sense of purpose and the floating feeling of meditation.
Temperance	Guidance	You should embrace mindfulness, think about the way you consume and stay patient in the face of adversity.
Temperance	UserRepresentation	This card might suggest the need to cut back on bad habits or to take the high road in an argument.
Temperance	AgentRepresentation	Often it stands for someone with a different viewpoint to you.
Temperance	E Interpretation	Evelyn sees Temperance as an angel on your shoulder, remember that advice is always close at hand.
Temperance	S Interpretation	Madame Sosoteris sees the angel of Temperance as a reminder to take a moment to reflect.
Temperance	M Interpretation	Maledictus believes that Temperance stands for self-restraint, acting quickly can be rash.
Devil	Representation	The Devil represents temptation, attachment or darkness; the lure of desire and the constraint of weakness.
Devil	Guidance	You should acknowledge your guilty pleasures, reflect on any negative tendencies and be wary of instant gratification.
Devil	UserRepresentation	This card usually stands for a bad habit or guilty pleasure. Possibly a lie you tell yourself or something you know you should stop doing.
Devil	AgentRepresentation	It could also represent someone who isn't right for you, perhaps a person holding you back or trying to undermine you.
Devil	E Interpretation	Evelyn sees the Devil as symbolic of obsession.
Devil	S Interpretation	Madame Sosoteris believes the Devil represents desire, what is it you are craving?
Devil	M Interpretation	Maledictus sees the Devil as a warning about need.
Tower	Representation	The Tower represents upheaval, ambition or awakening; it stands proud as a symbol of change.
Tower	Guidance	You should embrace the excitement of chaos, abandon conventions that no longer work and look for new opportunities glimmering on the horizon.
Tower	UserRepresentation	This card often stands for something unexpected and possibly destructive. It reminds you that it is always wise to be prepared for the worst, however unlikely it may seem.
Tower	AgentRepresentation	It could symbolise someone who's always causing trouble, or someone you trust to stick by you in difficult times.
Tower	E Interpretation	Evelyn considers The Tower to be guarding self-knowledge, what could be hidden at the top?
Tower	S Interpretation	Madame Sosoteris sees The Tower as a construction of memory and history, what must you embrace or reject?
Tower	M Interpretation	Maledictus sees The Tower as a prison to escape from, what walls is he urging you to scale?
Star	Representation	The Star represents hope, renewal and spirituality; the calming relief of faith or the glimmer of distant optimism.
Star	Guidance	You should trust in the direction of your journey, take time to pay attention to the details and look for things to get excited by.
Star	UserRepresentation	This card usually means an achievable goal or dream, it's a reminder to make yours a reality.
Star	AgentRepresentation	It might suggest a person who could play a big role in the next phase of your life, perhaps a lover or supporter.
Star	E Interpretation	Evelyn sees The Star as the glow of possibility, you already know what motivates you.
Star	S Interpretation	Madame Sosoteris sees the Star as a guiding light, keep an eye out for signs that point the way.
Star	M Interpretation	Maledictus says The Star is present even in the darkest nights.
Moon	Representation	The Moon represents the subconscious, intuition and illusion; the illumination of anxiety or the mysteries revealed by moonlight.
Moon	Guidance	You should think about the nuances of your situation, watch carefully for deceit and listen to your breath.
Moon	UserRepresentation	This card often stands for something you have only partially understood, perhaps a worry rooted in your past.
Moon	AgentRepresentation	This might represent someone who makes you suspicious or wary.
Moon	E Interpretation	Evelyn believes that good ideas come at the close of the day. The owl of Minerva flies at dusk.
Moon	S Interpretation	Madame Sosoteris says The Moon can guide you to a deeper understanding of some problem, read her card closely.
Moon	M Interpretation	Maledictus sees The Moon as symbolic of some distant worry. What does the moonlight in his drawing reveal?
Sun	Representation	The Sun represents positivity, warmth or success. It smiles upon your ventures and your soul.
Sun	Guidance	You should feel confident in yourself, look on the future with optimism and remember to be kind to others.
Sun	UserRepresentation	This card might stand for a favorite place or memory; it encourages to find opportunities to make new ones.
Sun	AgentRepresentation	It could reference a person who makes you feel warm and joyful
Sun	E Interpretation	Evelyn sees The Sun as a symbol of contentment, joy need not always come from excitement.
Sun	S Interpretation	Madame Sosoteris reminds you that the rising sun always heralds a new day.
Sun	M Interpretation	Maledictus sees The Sun as a source of energy, what will its rays charge?
Judgement	Representation	Judgement represents absolution, rebirth or a decision; a change in attitude or the certainty of fate.
Judgement	Guidance	You should trust in your own faculties, be prepared to share your story with others and listen to your heart before your head.
Judgement	UserRepresentation	This card usually means honesty or truthfulness, especially with respect to yourself. It can also denote a positive change you could make.
Judgement	AgentRepresentation	It could be someone who will tell you something you need to hear, or it might be that you are finally ready to listen to yourself.
Judgement	E Interpretation	Evelyn believes that Judgement stands for a decision you are mulling over, does her card hold any further clues?
Judgement	S Interpretation	Madame Sosoteris sees Judgement as forgiveness, what might need letting go?
Judgement	M Interpretation	Maledictus believes that Judgement stands for self-criticism, remember to not be too hard on yourself.
World	Representation	The world represents achievement, accomplishment and travel; the promise of discovery and the satisfaction of completion.
World	Guidance	You should take a moment to be proud of your success, remember to take stock of things that make you happy and finish any passion projects.
World	UserRepresentation	This card usually represents a milestone in your life, often one coming as a result of hard work. It's a reminder to celebrate and reflect.
World	AgentRepresentation	It could stand for someone special in your life, often a lover, ally or friend who you want at your side forever.
World	E Interpretation	Evelyn sees The World as a collection of stories, listen to what others have seen and let them guide you.
World	S Interpretation	Madame Sosoteris sees The World as a map, think on where you've travelled and what you've learned.
World	M Interpretation	Maledictus says The World won't last forever - enjoy it while you can.
